_Name,contact_number,Area,contact_person,_status,last_verified
Bhojan Tech,9311419770,"Gurgaon, South Delhi, Dwarka",Shodhan,Available,"15:24, 05/5"
Shubhra Jain,7620971566,Gurgaon,Shubhra Jain,Available,"15:26, 05/5"
Ashwani,9899009779,Delhi-NCR,Ashwani,Available,"15:27, 05/5"
Bonku,9654004059,Mayur Vihar and IP Extension,Bonku,Available,"15:29, 05/5"
Whisk and Spoon,9818633407,South Delhi,Hasa,Only lunch available,"15:31, 05/5"
Sudha's Kitchen,9868906044,Pitampura,Manisha,Available,"15:33, 05/5"
Ranjana's Ktichen,8800327566,Gurgaon,Ranjana,Available,"14:25, 05/5"
Malik Cuisines,9811152155,Kalkaji and CR Park,Vineet,Available,"14:27, 05/5"
Mother and Daughter's co.,9717493281,South Delhi,Kavita,Order 6 hours prior,"14:28, 05/5"
Priyanka,8178486081,Rohini and Pitampura,Priyanka,Available,"14:29, 05/5"
Shiivani,9810254001,GK and Kalkaji,Shiivani,Available,"14:30, 05/5"
Nucros,8448857622,Delhi-NCR,Aneesha,Available,"14:32, 05/5"
Ruchi,9910523717,Delhi-NCR,Ruchi,Available,"14:34, 05/5"
Hi Fi Tiffin Service,9310891098,Rajender Nagar and Karol Bagh,Om,Available,"14:35, 05/5"
Aunty Tiffin Service,9910932143,Rajinder Nagar,NA,Available,"14:37, 05/5"
Madhav Tiffin Service,8586838719,Model Town and Shalimar Bagh,Manoj,Available,"14:39, 05/5"
Komal ka musical dhaba,9899018608,Rohini and nearby areas,Komal,Available,"14:40, 05/5"
Meri Thaali,9910606131,Noida sector 40 - 137,Pragya,Available,"14:42, 05/5"
Food mantra,9891750510,Gurgaon,Deepti,Available,"14:43, 05/5"
Chefs Combo,9625591829,Ghaziabad,Sarthak,Available,"14:45, 05/5"
Riya Kalra,9311030510,West and North Delhi,Riya Kalra,Available,"14:48, 05/5"
Moms Cookhouse,9971306127,Dwarka,Bharti,Available,"14:50, 05/5"
House of Kitchens,9810084988,Kalkaji,Twinkle,Not serving till 30th April/ Busy,"14:52, 05/5"
House of Kitchens,9873939959,East Delhi,Ruby,Busy,"14:54, 05/5"
House of Kitchens,9818643430,GK2,Rakhi,Not answering,"14:55, 05/5"
House of Kitchens,9582555032,Kalkaji,Kusha,Not answering,"14:56, 05/5"
House of Kitchens,9313327121,West Delhi,Namrata,Busy,"14:57, 05/5"
House of Kitchens,9999356846,Dwarka,Kaveri,Not answering,"14:58, 05/5"
House of Kitchens,9999968305,Faridabad,Seema,Busy,"14:59, 05/5"
House of Kitchens,9999910097,Noida sec 62,Asheesh,Available,"15:01, 05/5"
House of Kitchens,9971793293,Greater Noida,Sabhayata,Not answering,"15:03, 05/5"
Home Gourmet,9999215777,Panchsheel,Mrinalini,Available via Whatsapp,"15:06, 05/5"
Shantanu,9999771040,Mayur Vihar Ph 1,Shantanu,"Available, Lunch & Dinner","15:07, 05/5"
The cookery,9891281417,NA,Reema Goyal,Not reachable,"15:08, 05/5"
Feed the Souls,9810010438,Delhi-NCR,NA,Not answering,"15:10, 05/5"
Krishna Tiffin service,9990569633,Delhi-NCR,NA,Switched off,"15:12, 05/5"
Delhi Tiffins,9718029639,Janakpuri,NA,Not reachable,"15:14, 05/5"
Anand,9247756006,Delhi-NCR,NA,Not reachable,"15:15, 05/5"
Home Bytes,9711150463,Delhi-NCR,NA,Not reachable,"15:16, 05/5"
