NameOfMedicine,NameOfService,ContactNo,Area,ContactPerson,Website,Status,LastVerified,NameOfMedicine1
"
          Remdesivir, Fabiflu, 
        ","
          sarvodaya pharmacy 
        ",9717133727,"
          NA
        ","
          NA
        ",NA,"
          Avaiable
        ","
          13:32, 03/5
        ",In the last 3 hours
"
          Remdesivir
        ","
          Manas Parida 
        ",9711090844,"
          NA
        ","
          NA
        ",NA,"
          Switched Off
        ","
          12:51, 02/5
        ",In the last 3 hours
"
          Remdesivir
        ","
          AARK Pharmaceutical
        ",9953466646,"
          NA
        ","
          NA
        ",NA,"
          Switched Off
        ","
          12:52, 02/5
        ",In the last 3 hours
"
          Remdesivir
        ","
          Unnamed
        ",9899842667,"
          NA
        ","
          NA
        ",NA,"
          Available
        ","
          13:20, 30/5
        ",In the last 3 hours
"
          Remdesivir
        ","
          AAR AAR Healthcare
        ",8826929090,"
          NA
        ","
          NA
        ",NA,"
          Available 
        ","
          17:18, 29/4
        ",In the last 3 hours
"
          Remdesivir
        ","
          NOVACARE HEALTHCARE SOLUTIONS Pvt.
        ",8860074107,"
          NA
        ","
          NA
        ",NA,"
          Available 
        ","
          17:18, 29/4
        ",In the last 3 hours
"
          Remdesivir
        ","
          NARANG BIOTEC PVT. LTD
        ",9310014268,"
          NA
        ","
          NA
        ",NA,"
          Available 
        ","
          17:18, 29/4
        ",In the last 3 hours
"
          Remdesivir
        ","
          NARULA ASSOCIATES
        ",01125504849 ,"
          NA
        ","
          NA
        ",NA,"
          Available 
        ","
          17:18, 29/4
        ",In the last 3 hours
"
          Remdesivir
        ","
          LUCKY PHARMACEUTICALS, APOLLO
        ",01149837500,"
          NA
        ","
          NA
        ",NA,"
          Available 
        ","
          17:18, 29/4
        ",In the last 3 hours
"
          Remdesivir
        ","
          A S Pharma Pvt Ltd
        ",9810424353,"
          NA
        ","
          NA
        ",NA,"
          Available 
        ","
          17:18, 29/4
        ",In the last 3 hours
"
          Remdesivir
        ","
          IMPEX HEALTHCARE Pvt. Ltd.
        ",01149057606,"
          NA
        ","
          NA
        ",NA,"
          Available 
        ","
          17:18, 29/4
        ",In the last 3 hours
"
          Remdesivir
        ","
          Pharma Cube
        ",01128043949,"
          NA
        ","
          NA
        ",NA,"
          Available 
        ","
          17:18, 29/4
        ",In the last 3 hours
"
          Remdesivir
        ","
          HOSPICARE AGENCIES
        ",9689884548,"
          NA
        ","
          NA
        ",NA,"
          Available 
        ","
          17:18, 29/4
        ",In the last 3 hours
"
          Remdesivir
        ","
          MEDIWAYS VACCINE COMPANY (LOC)
        ",9891260300,"
          NA
        ","
          NA
        ",NA,"
          Available 
        ","
          17:18, 29/4
        ",In the last 3 hours
"
          Remdesivir
        ","
          GAUTAM ENTERPRISES
        ","01125982030,9868124105","
          NA
        ","
          NA
        ",NA,"
          Available 
        ","
          17:18, 29/4
        ",In the last 3 hours
"
          Fabiflu
        ","
          PAWAN - GURGAON SEC-52
        ",9811455332,"
          NA
        ","
          NA
        ",NA,"
          Available 
        ","
          13:32, 30/4
        ",In the last 3 hours
"
          Fabiflu
        ","
          Mr Mohit
        ",9560155556,"
          NA
        ","
          NA
        ",NA,"
          Available
        ","
          13:52, 30/4
        ",In the last 3 hours
"
          Favipiravir
        ","
          Sanjay Medicos
        ",8851496214,"
          NA
        ","
          NA
        ",NA,"
          Available
        ","
          13:59, 30/4
        ",In the last 3 hours
"
          Fabiflu
        ","
          The life Pharmacy 
        ",9999222248,"
          NA
        ","
          NA
        ",NA,"
          Available
        ","
          15:43, 30/4
        ",In the last 3 hours
"
          Fabiflu, Tocillizumab
        ","
          Malik Pharmaceuticals
        ",01140455667,"
          NA
        ","
          NA
        ",NA,"
          Available
        ","
          15:48, 30/4
        ",In the last 3 hours
"
          Remdesivir, Fabiflu, Tocillizumab
        ","
          Sanjay Chawla
        ",01148282727,"
          NA
        ","
          NA
        ",NA,"
          Fabiflu
        ","
          15:50, 30/4
        ",In the last 3 hours
"
          Fabiflu
        ","
          Safdarjung Medicos
        ",9910291371,"
          NA
        ","
          NA
        ",NA,"
          Available
        ","
          15:52, 30/4
        ",In the last 3 hours
"
          General
        ","
          Dr Abhishek Kholsa
        ",8383982932,"
          NA
        ","
          NA
        ",NA,"
          Available on order
        ","
          15:15, 28/4
        ",In the last 3 hours
"
          General
        ","
          Shankar, Defence Colony
        ",9990050055,"
          NA
        ","
          NA
        ",NA,"
          Available on bulk order
        ","
          15:20, 28/4
        ",In the last 3 hours
"
          Fabiflu
        ","
          GGF22, Pusa Road
        ",7428941931,"
          NA
        ","
          NA
        ",NA,"
          Available 10am-4pm, 27/04
        ","
          17:08, 26/4
        ",In the last 3 hours
"
          Fabiflu
        ","
          Nikhil Arogya Pharamacy
        ",9350480068,"
          NA
        ","
          NA
        ",NA,"
          Available
        ","
          17:39, 26/4
        ",In the last 3 hours
"
          Fabicyn (Fabiflu alternate)
        ","
          Aditiya
        ",7827550426,"
          NA
        ","
          NA
        ",NA,"
          Available
        ","
          17:36, 26/4
        ",In the last 3 hours
"
          Bevacizubab (tocilizunab alternate)
        ","
          Sgs Pharma Rohini
        ",8810290175,"
          NA
        ","
          NA
        ",NA,"
          Available
        ","
          17:42, 26/4
        ",In the last 3 hours
"
          Fabiflu
        ","
          Not Available
        ",9718541733,"
          NA
        ","
          NA
        ",NA,"
          Available
        ","
          15:23, 23/4
        ",In the last 3 hours
"
          Fabiflu
        ","
          Anand Drug Store
        ",9310353839,"
          NA
        ","
          NA
        ",NA,"
          Available
        ","
          15:23, 23/4
        ",In the last 3 hours
"
          Fabipiravir 200mg
        ","
          Neveda Drug House
        ",9868610782,"
          NA
        ","
          NA
        ",NA,"
          Available
        ","
          13:42, 30/4
        ",In the last 3 hours
"
          Fabipiravir, Ivermectin 12 mg
        ","
          Stay Happy Pharmacy
        ",8800667750,"
          NA
        ","
          NA
        ",NA,"
          Available 
        ","
          17:02, 30/4
        ",In the last 3 hours
"
          Fabipiravir
        ","
          Riteaid Pharmacy
        ",1146064892,"
          NA
        ","
          NA
        ",NA,"
          Available
        ","
          17:03, 30/4
        ",In the last 3 hours
"
          Fabiflu
        ","
          Delhi Medicos
        ",9999133715,"
          NA
        ","
          NA
        ",NA,"
          Available
        ","
          17:05, 30/4
        ",In the last 3 hours
"
          Favipiravir 
        ","
          Venus Pharmacy
        ",9999394060,"
          NA
        ","
          NA
        ",NA,"
          Available
        ","
          15:35, 23/4
        ",In the last 3 hours
"
          Fabiflu
        ","
          Chawla Medical Karol Bagh
        ",9997777201,"
          NA
        ","
          NA
        ",NA,"
          Available
        ","
          18:39, 26/4
        ",In the last 3 hours
"
          Fabiflu 400
        ","
          Jai Jai Shree Ram Medicos
        ",9811529561,"
          NA
        ","
          NA
        ",NA,"
          Available
        ","
          19:15, 26/4
        ",In the last 3 hours
"
          Fabiflu 
        ","
          Bio Green Chemist , Kalkaji 
        ",9216900439,"
          NA
        ","
          NA
        ",NA,"
          Available 
        ","
          17:25, 27/4
        ",In the last 3 hours
"
          Fabiflu
        ","
          Anky Medicos 
        ",9999424949,"
          NA
        ","
          NA
        ",NA,"
          Available 
        ","
          15:31, 28/4
        ",In the last 3 hours
"
          Fabiflu
        ","
          Durga Medical Store
        ",9911610356,"
          NA
        ","
          NA
        ",NA,"
          Available 
        ","
          15:49, 28/4
        ",In the last 3 hours
"
          Fabiflu
        ","
          Netmeds.com
        ",,"
          NA
        ","
          NA
        ",,"
          Available on the website 
        ","
          20:01, 28/4
        ",In the last 3 hours
"
          Fabiflu
        ","
          City Chemist 
        ",8800386651,"
          NA
        ","
          NA
        ",NA,"
          Available 
        ","
          17:48, 28/4
        ",In the last 3 hours
"
          Fabiflu 400 Available
        ","
          Vishesh Aushadiwala
        ",9810683565,"
          NA
        ","
          NA
        ",NA,"
          Fabiflu 400 Available
        ","
          14:41, 29/4
        ",In the last 3 hours
"
          Remdesivir, Fabiflu, Tocillizumab
        ","
          A-290, Ground floor, Defence Colony, Delhi
        ",9990050055,"
          NA
        ","
          NA
        ",NA,"
          Available
        ","
          16:50, 30/4
        ",In the last 3 hours
"
          Remdesivir, Fabiflu, Tocillizumab
        ","
          Livewell Pharmacy , Defence Colony 
        ",9990050055,"
          NA
        ","
          NA
        ",NA,"
          Available
        ","
          16:50, 30/4
        ",In the last 3 hours
"
          Remdesivir, Fabiflu, Tocillizumab
        ","
          Kalkaji
        ",9216900439,"
          NA
        ","
          NA
        ",NA,"
          Available
        ","
          16:52, 30/4
        ",In the last 3 hours
"
          Remdesivir, Fabiflu, Tocillizumab
        ","
          Essenco Pharma
        ",9899788702,"
          NA
        ","
          NA
        ",NA,"
          Available
        ","
          16:54, 30/4
        ",In the last 3 hours
"
          Remdesivir, Fabiflu, Tocillizumab
        ","
          Livewell Pharmacy
        ",9990050055,"
          NA
        ","
          NA
        ",NA,"
          Available
        ","
          16:57, 30/4
        ",In the last 3 hours
